Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Min,Label
198662,3,3,109.0,242.0,109.0,0.0,242.0,0.0,BENIGN
116861,2,1,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
417273,3,6,108.0,16963.0,108.0,0.0,11108.0,0.0,BENIGN
3586,12,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
184158,3,3,109.0,242.0,109.0,0.0,242.0,0.0,BENIGN
432299,3,4,108.0,17167.0,108.0,0.0,13752.0,0.0,BENIGN
8718,5,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
203809,3,10,110.0,30522.0,110.0,0.0,5808.0,0.0,BENIGN
3595,14,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
818,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
151808,3,3,109.0,242.0,109.0,0.0,242.0,0.0,BENIGN
169799,3,3,108.0,17039.0,108.0,0.0,17039.0,0.0,BENIGN
2332,8,1,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
1146,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
4236,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
93986,3,3,107.0,318.0,107.0,0.0,318.0,0.0,BENIGN
313208,18,8,746.0,15568.0,517.0,0.0,9984.0,0.0,BENIGN
115740,3,3,107.0,318.0,107.0,0.0,318.0,0.0,BENIGN
268426,14,9,746.0,16894.0,517.0,0.0,5664.0,0.0,BENIGN
2855,2,0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
130475,7,6,108.0,8712.0,108.0,0.0,2904.0,0.0,BENIGN
3637,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
192897,12,6,110.0,15707.0,110.0,0.0,8447.0,0.0,BENIGN
0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
142997,10,13,110.0,28775.0,110.0,0.0,2904.0,0.0,BENIGN
0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
