Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.142.157-202.89.233.100-54729-80-6,192.168.142.157,54729,202.89.233.100,80,6,13/02/2026 04:13:40 AM,198662,3,3,109.0,242.0,109.0,0.0,36.333333333333336,62.93117934166921,242.0,0.0,80.66666666666667,139.71876514388944,1766.8200259737644,30.202051726047255,39732.399999999994,51322.66724654906,96217.0,0.0,102445.0,51222.5,72439.55419865587,102445.0,0.0,103144.0,51572.0,63137.56449214683,96217.0,6927.0,0,0,0,0,80,64,15.101025863023628,15.101025863023628,0.0,242.0,50.142857142857146,93.84815496575408,8807.47619047619,1,2,0,2,5,0,0,0,1.0,58.5,36.333333333333336,80.66666666666667,0,0,0,0,0,0,0,0,0,0,65280,64240,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-8.8.8.8-55889-53-6,192.168.142.157,55889,8.8.8.8,53,6,13/02/2026 04:13:40 AM,116861,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.671524289540564,58430.5,70872.60557154648,108545.0,8316.0,116861.0,116861.0,0.0,116861.0,116861.0,0,0,0,0,0,0,0,0,0,60,24,17.114349526360375,8.557174763180187,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65280,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-202.89.233.100-38411-80-6,192.168.142.157,38411,202.89.233.100,80,6,13/02/2026 04:13:40 AM,417273,3,6,108.0,16963.0,108.0,0.0,36.0,62.353829072479584,11108.0,0.0,2827.1666666666665,4236.352129682643,40910.86650705893,21.568613353847482,52159.125,109872.49084336351,310218.0,0.0,104036.0,52018.0,73564.56108752366,104036.0,0.0,317216.0,63443.2,137962.7470975408,310218.0,0.0,0,0,0,0,80,124,7.189537784615827,14.379075569231654,0.0,11108.0,1707.1000000000001,3473.0771642577834,1.2062264988888886E7,1,2,0,5,8,0,0,0,2.0,1896.7777777777778,36.0,2827.1666666666665,0,0,0,17071,5,54498,0,0,0,0,65280,64240,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-202.89.233.100-38411-80-6,192.168.142.157,38411,202.89.233.100,80,6,13/02/2026 04:13:41 AM,3586,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3346.346904629113,326.0,515.7569194882411,1417.0,0.0,3586.0,326.0,515.7569194882411,1417.0,0.0,0,0,0,0,0,0,0,0,0,240,0,3346.346904629113,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,12,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,63920,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-202.89.233.100-38411-80-6,192.168.142.157,38411,202.89.233.100,80,6,13/02/2026 04:13:41 AM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-202.89.233.100-51069-80-6,192.168.142.157,51069,202.89.233.100,80,6,13/02/2026 04:13:41 AM,184158,3,3,109.0,242.0,109.0,0.0,36.333333333333336,62.93117934166921,242.0,0.0,80.66666666666667,139.71876514388944,1905.9720457433293,32.5807187306552,36831.6,47961.05279599271,96852.0,0.0,87306.0,43653.0,60780.070483670876,86631.0,675.0,103089.0,51544.5,64074.480977219006,96852.0,6237.0,0,0,0,0,80,64,16.2903593653276,16.2903593653276,0.0,242.0,50.142857142857146,93.84815496575408,8807.47619047619,1,2,0,2,5,0,0,0,1.0,58.5,36.333333333333336,80.66666666666667,0,0,0,0,0,0,0,0,0,0,65280,64240,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-202.89.233.100-54175-80-6,192.168.142.157,54175,202.89.233.100,80,6,13/02/2026 04:13:41 AM,432299,3,4,108.0,17167.0,108.0,0.0,36.0,62.353829072479584,13752.0,0.0,4291.75,6509.051563015921,39960.76789444343,16.192496397169553,72049.83333333334,130738.22406077982,328129.0,0.0,104124.0,52062.0,73626.78648426807,104124.0,0.0,338285.0,112761.66666666666,186581.44930387195,328129.0,46.0,0,0,0,0,80,84,6.9396413130726655,9.252855084096886,0.0,13752.0,2159.375,4832.748255023074,2.335545569642857E7,1,2,0,3,6,0,0,0,1.0,2467.8571428571427,36.0,4291.75,0,0,0,0,0,0,0,0,0,0,65280,64240,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-202.89.233.100-54175-80-6,192.168.142.157,54175,202.89.233.100,80,6,13/02/2026 04:13:42 AM,8718,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,573.5260380821289,2179.5,4359.0,8718.0,0.0,8718.0,2179.5,4359.0,8718.0,0.0,0,0,0,0,0,0,0,0,0,100,0,573.5260380821289,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,63920,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
202.89.233.100-192.168.142.157-80-54175-6,202.89.233.100,80,192.168.142.157,54175,6,13/02/2026 04:13:42 AM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64239,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.142.157-202.89.233.100-54175-80-6,192.168.142.157,54175,202.89.233.100,80,6,13/02/2026 04:13:42 AM,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
